3,2400569,4067
3,2400569,2613
3,2400569,12384
3,2400569,1098
3,2400569,16259
3,2400569,17756
3,2400569,12670
3,2400569,2189
3,2400569,15055
3,2400569,11126
3,2400569,14210
3,2400569,6085
3,2400569,7886
3,2400569,16768
3,2400569,7750
4,2400569,2102
3,2400569,15750
3,2400569,4496
3,2400569,7072
3,2400569,12032
3,2400569,1123
3,2400569,44
3,2400569,12035
3,2400569,7516
3,2400569,11697
3,2400569,14412
3,2400569,6816
3,2400569,7371
3,2400569,6637
3,2400569,7704
3,2400569,11354
3,2400569,12596
3,2400569,17402
3,2400569,12260
3,2400569,12721
3,2400569,3090
3,2400569,13551
3,2400569,3093
3,2400569,1300
3,2400569,12337
3,2400569,16840
3,2400569,1421
3,2400569,8496
3,2400569,12970
3,2400569,8354
3,2400569,12693
3,2400569,7569
3,2400569,359
3,2400569,14882
3,2400569,10191
3,2400569,10406
3,2431452,13813
3,2431452,9072
3,2431452,6571
3,2431452,3224
3,2431452,15477
3,2431452,2383
3,2431452,11522
3,2431452,5220
3,2431452,6204
3,2431452,15125
3,2431452,13974
3,2431452,7069
3,2431452,11937
3,2431452,16847
3,2431452,7886
3,2431452,16350
3,2431452,8830
3,2431452,8101
3,2431452,12970
3,2431452,5254
3,2431452,5326
3,2431452,16548
3,2431452,8511
3,2431452,1123
3,2431452,10680
3,2431452,12860
3,2431452,8679
3,2431452,10827
3,2431452,1558
3,2431452,8189
3,2431452,4060
3,2272654,14229
3,2272654,16796
3,2272654,15171
3,2272654,1646
3,2272654,2037
3,2272654,9217
4,2272654,825
3,2272654,14096
3,2272654,7419
3,2272654,8536
3,2272654,2078
3,2272654,4629
3,2272654,3420
3,2272654,7673
3,2272654,12894
3,2272654,2872
3,2272654,304
3,2272654,517
3,2272654,15336
3,2272654,11687
3,2272654,1123
3,2272654,4380
3,2272654,10955
3,2272654,10613
3,2272654,9027
4,2272654,907
3,2272654,4658
3,2272654,2698
3,2272654,3174
3,2272654,8679
3,2272654,8437
3,2272654,3649
3,2272654,12742
3,2272654,15846
3,2272654,1853
3,2272654,5280
3,2272654,10111
3,2272654,12596
3,2272654,2380
3,2272654,14303
3,2272654,1704
3,2272654,14154
3,2272654,16840
3,2272654,16468
3,2272654,3207
3,2272654,10786
3,2272654,9974
3,2272654,12277
3,2272654,12478
3,2272654,6254
3,2272654,8336
3,2272654,14146
3,2272654,10918
3,2272654,3212
3,2272654,7343
3,2272654,638
3,2272654,10526
3,2272654,2302
3,2272654,12427
3,2272654,5406
3,2272654,14325
4,2272654,15568
3,2272654,3009
3,2272654,3736
3,2272654,13767
3,2272654,11840
3,2272654,11503
3,2272654,4429
3,2272654,9089
3,2272654,13634
5,61227,851
5,61227,5621
5,61227,9150
4,61227,10835
4,61227,5587
4,61227,15894
4,61227,6599
4,61227,6804
4,61227,10627
4,61227,13177
4,61227,4686
4,61227,13726
4,61227,3903
4,61227,1148
4,61227,15465
4,61227,14646
4,61227,3085
4,61227,5809
4,61227,16952
4,61227,10673
4,61227,2938
4,61227,13098
5,61227,3078
5,61227,9614
3,823520,9224
3,823520,14827
3,823520,7048
3,823520,819
3,823520,16790
3,823520,16516
3,823520,3835
3,823520,9080
3,823520,13827
3,823520,10033
3,823520,8815
3,823520,16002
3,823520,4867
3,823520,11250
3,823520,15532
3,823520,808
3,823520,10981
3,823520,7401
3,823520,8830
3,823520,12902
3,823520,13860
3,823520,7391
3,823520,14131
3,823520,14126
3,823520,11910
3,823520,8178
3,823520,17053
3,823520,5751
3,823520,15244
3,823520,13695
3,823520,17131
3,823520,7826
3,823520,13418
3,823520,12329
3,823520,14755
3,823520,11171
3,823520,15234
3,823520,14507
3,823520,12818
3,823520,5895
3,823520,17565
3,823520,4031
3,823520,1585
3,823520,11464
3,823520,5651
3,823520,12224
3,823520,2780
3,823520,14734
3,823520,1329
3,823520,8232
3,823520,12297
3,823520,5667
3,823520,862
3,823520,8239
3,823520,15829
3,823520,8483
3,823520,5692
3,823520,5391
3,823520,12549
3,823520,353
3,823520,3715
